Entrez_ID	hgnc_symbol	logFC	P.Value	adj.P.Val
4668	NAGA	3.0332186251294893	3.730967286551874e-12	1.806937961641051e-10
415117	STX19	-4.368476660578377	3.900424423800575e-12	1.8772474729593806e-10
5315	PKM	3.5402499343912988	3.900520689221491e-12	1.8772474729593806e-10
79797	ZNF408	2.1054073261912905	3.923657051377794e-12	1.8802300930096875e-10
54897	CASZ1	2.5129487249570603	3.931134925973115e-12	1.8802300930096875e-10
26230	TIAM2	3.893961049660188	4.0445233568382215e-12	1.9229768702904698e-10
4148	MATN3	6.720365136336669	4.045480851724643e-12	1.9229768702904698e-10
9637	FEZ2	2.2363880911301326	4.115132302797736e-12	1.9498749710963445e-10
84281	C2orf88	-3.7330164826135173	4.127389394048493e-12	1.9498749710963445e-10
2705	GJB1	-5.104882075391022	4.156906090800785e-12	1.957813783009874e-10
93082	NEURL3	-5.53636310779833	4.182188289346175e-12	1.9637159098847694e-10
56776	FMN2	3.8845389134686057	4.37433489053957e-12	2.0476939711003013e-10
533	ATP6V0B	2.215952350120327	4.476076251160712e-12	2.0889712225492763e-10
26050	SLITRK5	-1.9685873875380384	4.534088709099588e-12	2.1096525742852797e-10
54959	ODAM	8.18816950825843	4.62411409464696e-12	2.1433908381760013e-10
79754	ASB13	3.450177954842924	4.634433797237897e-12	2.1433908381760013e-10
80262	PHAF1	2.5608368435401117	4.679839437350555e-12	2.1579103944501766e-10
2046	EPHA8	-2.061824736150866	4.874403302979803e-12	2.240915978184834e-10
334	APLP2	2.6927932864540765	5.029444428129568e-12	2.304187527135075e-10
8848	TSC22D1	2.444246846531817	5.041953098139863e-12	2.304187527135075e-10
6664	SOX11	6.355919379611158	5.143386233069817e-12	2.343588502233972e-10
6456	SH3GL2	-3.1232314591130415	5.204042081758297e-12	2.364231625402936e-10
284422	SMIM24	-2.9795417696639825	5.260523544089819e-12	2.3760724607702576e-10
9733	SART3	2.907754597988035	5.260961685102642e-12	2.3760724607702576e-10
