MIMAT_ID	logFC	P.Value	adj.P.Val
MIMAT0018069	-0.08854597029700095	0.005008698538620358	0.026773244017558272
MIMAT0005584	0.22582051929953448	0.005008802889699098	0.026773244017558272
MIMAT0000454	1.3635562696056442	0.005203649659223903	0.02770480668369406
MIMAT0000715	-0.20360210774719723	0.0052950420666865745	0.02802895526009964
MIMAT0005882	-0.1399754875416607	0.005306149659484342	0.02802895526009964
MIMAT0004774	0.3694722435082511	0.005359646031977657	0.028200950019819936
MIMAT0016854	0.19834387544893253	0.005576698129980249	0.02922884194974084
MIMAT0015025	-0.07640397239995937	0.005774213383574132	0.030146765223544016
MIMAT0004812	-0.1870164219409727	0.00597612443895014	0.03108046185044725
MIMAT0017990	-0.24432590430071088	0.006008040436096321	0.03112627102854517
MIMAT0012734	0.39913666030334566	0.006067532369378151	0.03131404636610103
MIMAT0000430	-0.12318160203885462	0.00611727576972314	0.03145026893823309
MIMAT0005889	-0.20173554123602486	0.006168096699460203	0.031590974350467274
MIMAT0018358	-0.14409979477653576	0.0061959416003863005	0.031613383847425555
MIMAT0003250	-0.12440969271086626	0.006226957446337257	0.031651742189495416
MIMAT0003417	-0.1486353022137289	0.006273171061510232	0.031703753669620686
MIMAT0005911	0.6231716825103876	0.006284262976829045	0.031703753669620686
MIMAT0003261	-0.0836057921213874	0.006449498506342346	0.03241594958225052
MIMAT0002843	-0.24864929772066005	0.006557272717393347	0.03283511654397338
MIMAT0004907	-0.1678323725900566	0.006652023856154995	0.03304203638775442
MIMAT0015051	0.34478150704827987	0.006666668279230813	0.03304203638775442
MIMAT0003290	0.0704002655370422	0.006672185521506461	0.03304203638775442
MIMAT0016884	1.097888646851063	0.007069937724061498	0.03488353888025948
MIMAT0003243	-0.14202580565943773	0.007174205634469534	0.03521598695224778
MIMAT0006790	0.16623897931074472	0.007207606235467339	0.03521598695224778
MIMAT0000510	0.6683563534152436	0.007215747883311349	0.03521598695224778
MIMAT0015052	-0.08235452721225536	0.007554685921229342	0.03673704669998528
MIMAT0018000	0.2047976444555756	0.007584752998677406	0.036750583774167137
MIMAT0000271	-1.9989644421358719	0.007694594709302424	0.03707012056140439
MIMAT0000241	-0.12848355608093615	0.007724009182079861	0.03707012056140439
MIMAT0005824	-0.14901449224334684	0.00775255472211028	0.03707012056140439
MIMAT0008398	0.10305516329552535	0.007760782478334105	0.03707012056140439
MIMAT0016916	0.5698083382582296	0.0079044224265721	0.03762281628477957
MIMAT0000227	0.9085662740113862	0.008211828022501012	0.038948353332073464
MIMAT0004284	0.0786885727700218	0.008347701071008604	0.039413459100277166
MIMAT0003297	-0.19199554795848295	0.008368410766651277	0.039413459100277166
MIMAT0018356	0.2546114008259815	0.008641591357815056	0.040441548967830795
MIMAT0011161	0.1629898601145189	0.00864674543632908	0.040441548967830795
MIMAT0003318	0.30261523562539006	0.008782728571647072	0.040878283121521246
MIMAT0004801	-0.1725246774780698	0.008800818192458175	0.040878283121521246
MIMAT0004836	0.08827368981016775	0.009127621540171299	0.0421208078074134
MIMAT0003423	0.794091035732729	0.009156494096155847	0.0421208078074134
MIMAT0018091	-0.1163039235493539	0.00916213562551754	0.0421208078074134
MIMAT0002879	-0.1545090023829434	0.009364987562651242	0.042849652213393576
MIMAT0018185	0.6271860558338769	0.009384296512955534	0.042849652213393576
MIMAT0016924	0.10722899396010092	0.009465810520879664	0.043075833687921984
MIMAT0015072	0.6493308727109395	0.009571145792834036	0.04340852990891396
MIMAT0007399	-0.11814970512194731	0.009714948238451072	0.04391287005769663
MIMAT0016870	0.0795669077438794	0.009808787098010831	0.04405955641698322
MIMAT0004793	-0.17905487761603037	0.009837886191304055	0.04405955641698322
MIMAT0000232	-1.7800607074613148	0.009872843395908309	0.04405955641698322
MIMAT0015077	0.1886667151458872	0.009878237593117246	0.04405955641698322
MIMAT0004798	-0.17932469140983703	0.01013216728726309	0.045043001108724036
MIMAT0002867	-0.11460196135331874	0.010496081881197775	0.04639531722149382
MIMAT0016892	-0.08075382532416746	0.010505250001897264	0.04639531722149382
MIMAT0018098	-0.10248312178499953	0.010582712759976283	0.04658468656107207
MIMAT0017983	-0.14220189281878268	0.010623791975633916	0.04661318498755337
MIMAT0000231	-2.027850304691676	0.010773234263932887	0.047115410888044156
MIMAT0005916	-0.14179498059402157	0.01097747679014433	0.04785327260946412
MIMAT0001541	-0.1612930834564378	0.011087721141477012	0.04817793670183721
MIMAT0000722	-0.7528040407250982	0.011240339114536374	0.048684041116657535
MIMAT0018200	-0.16237983587088614	0.011297570628386754	0.048775088578323585
MIMAT0004501	-0.11538585843196038	0.011414146868889646	0.04912094515141966
MIMAT0018090	-0.13987024015799474	0.011458111368963674	0.04915310832482187
MIMAT0000764	-0.10549870467410796	0.011564754533342724	0.049453093194960794
MIMAT0014980	-0.10196317777092112	0.01194487884593322	0.050612701139182405
MIMAT0004757	0.33442336309252196	0.011955109149831975	0.050612701139182405
MIMAT0000772	0.27153733862469914	0.011962953593858267	0.050612701139182405
MIMAT0015054	0.1142715957299521	0.011986229891164948	0.050612701139182405
MIMAT0018201	0.44460812821096657	0.012131275210455284	0.051065086589010204
MIMAT0004985	-0.1389653715557165	0.012255165216117827	0.05142588020595238
MIMAT0015004	-0.14589097065941276	0.012888559256977315	0.05380129121587116
MIMAT0005913	0.16747631334223642	0.012915747627057517	0.05380129121587116
MIMAT0014994	0.15054386873797207	0.012941067820298632	0.05380129121587116
MIMAT0000996	0.11604570888194543	0.013054224933872965	0.05409079579688812
MIMAT0014701	0.10026206773749388	0.013091016651659633	0.05409079579688812
MIMAT0000280	-1.8190114821705192	0.013269247430007196	0.05465956051443331
MIMAT0015009	-0.18985356014857788	0.013333187900781692	0.05475550031205164
MIMAT0016852	0.9387022222778444	0.013511328435186175	0.055268384712610544
MIMAT0004559	0.6013665294600962	0.013540138793735322	0.055268384712610544
MIMAT0002810	-0.09975244098523223	0.013596222158610371	0.055329641231565474
MIMAT0004927	-0.1179382582345604	0.013741099785481659	0.05575078738266204
MIMAT0015063	0.10638278635165739	0.014629386978557653	0.059176529309661136
MIMAT0002830	-0.17249234918961098	0.015036503500958887	0.06064122819099287
MIMAT0015056	-0.1310966133053908	0.015145380608197838	0.060897993072365625
MIMAT0004970	0.061851771845584866	0.015233527714125727	0.0610701244968076
MIMAT0005890	-0.11107129355813183	0.015318565087600709	0.06107663163639477
MIMAT0003245	-0.1162413635165553	0.015342377363145112	0.06107663163639477
MIMAT0001576	0.16263730532405773	0.015414225429898313	0.06107663163639477
MIMAT0005919	-0.15511441687665248	0.01541652171965421	0.06107663163639477
MIMAT0000719	-0.12397808701135889	0.015485139108043946	0.0611685700250299
MIMAT0004755	-0.11733567672525659	0.015591151692957612	0.061407255352087436
MIMAT0014978	-0.1036597775280099	0.01569461412912403	0.06163453420387775
MIMAT0005948	0.9360475110110504	0.015742902102301774	0.06164444515058282
MIMAT0018202	-0.1209263778346565	0.015966549374786792	0.06233896234155887
MIMAT0015057	0.17511689896994598	0.01641628777884549	0.06378447803543402
MIMAT0007348	0.07416106191329173	0.016431487660204608	0.06378447803543402
MIMAT0002834	-0.14090705837504827	0.016493023997798603	0.06383937737078942
MIMAT0015008	-0.1348993592089526	0.016755634619337427	0.06467002817262898
MIMAT0004502	-0.17192004132180527	0.016854364818943996	0.06486522688890732
MIMAT0004506	0.10745476138789038	0.01699781037864788	0.06523091333344357
MIMAT0003254	-0.14815751682982292	0.017119108964436292	0.06550977208834001
MIMAT0005941	-0.10103148740901675	0.017402992752305117	0.06640745393018412
MIMAT0003881	-0.09905871662687424	0.017453667955898124	0.0664126856965954
MIMAT0002848	-0.12721627672238367	0.017825012618890322	0.06763462534547961
MIMAT0000077	0.4479348027845016	0.01788257022633433	0.06766242161480995
MIMAT0003330	-0.2664385266359052	0.018227650167497663	0.0687324381344736
MIMAT0005792	0.6220945589925595	0.018267418598471825	0.0687324381344736
MIMAT0004564	-0.9556735409181333	0.018356262466203796	0.06887433298600701
MIMAT0000690	0.19412190377191071	0.019214728577650993	0.07189510942804414
MIMAT0008401	-0.06894551322443623	0.019315435699882543	0.07207172268072518
