
Overlap Results

Collection(s):	C2, H
# overlaps shown:	10
# genesets in collections:	7720
# genes in comparison (n):	114
# genes in universe (N):	43722

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	792	Cytokine Signaling in Immune system	26	0.0328	2.59E-21	2E-17
WP_PLEURAL_MESOTHELIOMA	439	Pleural mesothelioma	20	0.0456	2.85E-19	1.1E-15
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	920	Cellular responses to stimuli	25	0.0272	1.47E-18	3.77E-15
WP_CANCER_PATHWAYS	507	Cancer pathways	20	0.0394	4.68E-18	9.04E-15
REACTOME_SIGNALING_BY_INTERLEUKINS	461	Signaling by Interleukins	19	0.0412	1.53E-17	2.36E-14
WINTER_HYPOXIA_METAGENE	243	Genes regulated by hypoxia, based on literature searches.	15	0.0617	1.23E-16	1.59E-13
HALLMARK_HYPOXIA	200	Genes up-regulated in response to low oxygen levels (hypoxia).	14	0.0700	2.32E-16	2.56E-13
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	532	Signaling by Receptor Tyrosine Kinases	18	0.0338	3.51E-15	3.38E-12
WP_INSULIN_SIGNALING	160	Insulin signaling	11	0.0688	5.18E-13	4.17E-10
WP_GASTRIN_SIGNALING	115	Gastrin signaling	10	0.0870	5.75E-13	4.17E-10


Gene/Gene Set Overlap Matrix

7852	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]				WP_CANCER_PATHWAYS		WINTER_HYPOXIA_METAGENE	HALLMARK_HYPOXIA			
1909	EDNRA	endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]				WP_CANCER_PATHWAYS						
6608	SMO	smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]				WP_CANCER_PATHWAYS						
5366	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]				WP_CANCER_PATHWAYS						
54206	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]						WINTER_HYPOXIA_METAGENE	HALLMARK_HYPOXIA			
7163	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]						WINTER_HYPOXIA_METAGENE	HALLMARK_HYPOXIA			
4783	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]						WINTER_HYPOXIA_METAGENE	HALLMARK_HYPOXIA			
3638	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]						WINTER_HYPOXIA_METAGENE				
7037	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]						WINTER_HYPOXIA_METAGENE				
10534	ZNRD2	zinc ribbon domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11328]						WINTER_HYPOXIA_METAGENE				
3340	NDST1	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]							HALLMARK_HYPOXIA			
1843	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]							HALLMARK_HYPOXIA			
26355	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]							HALLMARK_HYPOXIA			
1463	NCAN	neurocan [Source:HGNC Symbol;Acc:HGNC:2465]							HALLMARK_HYPOXIA			
5590	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]								REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	WP_INSULIN_SIGNALING	
3925	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]								REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		
1111	CHEK1	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]								REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES		
5583	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]									WP_INSULIN_SIGNALING	WP_GASTRIN_SIGNALING
30846	EHD2	EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]									WP_INSULIN_SIGNALING	
1994	ELAVL1	ELAV like RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3312]										WP_GASTRIN_SIGNALING
390	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]										
1719	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]										
3418	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]										
5524	PTPA	protein phosphatase 2 phosphatase activator [Source:HGNC Symbol;Acc:HGNC:9308]										
3215	HOXB5	homeobox B5 [Source:HGNC Symbol;Acc:HGNC:5116]										
27252	KLHL20	kelch like family member 20 [Source:HGNC Symbol;Acc:HGNC:25056]										
10555	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]										
